,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file
23671,34.0,female,Bachelor,78744.0,15,MORTGAGE,21200.0,EDUCATION,9.99,0.27,6.0,708,Yes
185,25.0,female,Master,240768.0,2,MORTGAGE,12000.0,VENTURE,10.38,0.05,2.0,669,Yes
22086,30.0,female,Bachelor,65952.0,3,RENT,6300.0,EDUCATION,10.0,0.1,7.0,591,Yes
115,24.0,male,High School,16470.0,2,MORTGAGE,4500.0,DEBTCONSOLIDATION,11.83,0.27,4.0,643,No
39442,26.0,female,Associate,75020.0,4,MORTGAGE,2126.0,EDUCATION,12.04,0.03,3.0,723,Yes
15748,24.0,female,Associate,195667.0,2,MORTGAGE,16000.0,DEBTCONSOLIDATION,15.96,0.08,2.0,673,Yes
24789,29.0,male,Associate,72707.0,8,MORTGAGE,9600.0,MEDICAL,13.67,0.13,10.0,647,No
3194,23.0,female,Master,47905.0,0,RENT,3500.0,EDUCATION,11.86,0.07,4.0,685,No
23746,27.0,male,Bachelor,78924.0,4,MORTGAGE,4500.0,HOMEIMPROVEMENT,13.92,0.06,7.0,665,No
4719,24.0,male,Master,34515.0,0,RENT,5000.0,MEDICAL,7.68,0.14,3.0,649,No
15917,23.0,male,Bachelor,54744.0,2,RENT,19600.0,EDUCATION,9.91,0.36,2.0,634,No
44994,24.0,female,Associate,31924.0,2,RENT,12229.0,MEDICAL,10.7,0.38,4.0,678,No
9120,23.0,female,Master,73236.0,0,OWN,18500.0,MEDICAL,15.33,0.25,2.0,650,Yes
18989,28.0,female,Bachelor,36978.0,5,MORTGAGE,4750.0,MEDICAL,7.9,0.13,7.0,590,No
31687,37.0,female,High School,146068.0,16,MORTGAGE,4000.0,HOMEIMPROVEMENT,7.66,0.03,15.0,668,No
27850,28.0,male,Master,361101.0,7,MORTGAGE,10125.0,EDUCATION,15.23,0.03,6.0,717,No
38186,25.0,male,High School,28663.0,0,RENT,6000.0,EDUCATION,13.17,0.21,4.0,598,Yes
9547,24.0,female,Bachelor,75777.0,0,MORTGAGE,9500.0,EDUCATION,6.54,0.13,2.0,670,No
30881,37.0,male,Associate,40403.0,13,RENT,10000.0,VENTURE,5.99,0.25,11.0,644,Yes
31914,42.0,male,High School,600928.0,17,OWN,24000.0,MEDICAL,18.43,0.04,11.0,667,No
30962,41.0,male,High School,50662.0,20,RENT,10000.0,MEDICAL,16.45,0.2,17.0,691,No
31025,42.0,male,High School,89747.0,19,MORTGAGE,5300.0,DEBTCONSOLIDATION,8.38,0.06,12.0,587,Yes
18773,35.0,female,Bachelor,51544.0,15,RENT,1000.0,MEDICAL,11.12,0.02,5.0,635,Yes
19784,29.0,male,Bachelor,75805.0,1,RENT,3500.0,HOMEIMPROVEMENT,10.99,0.05,5.0,678,No
41218,27.0,male,High School,43116.0,3,RENT,5500.0,PERSONAL,7.98,0.13,4.0,673,No
23287,29.0,male,Bachelor,34535.0,4,RENT,5000.0,MEDICAL,17.51,0.14,7.0,632,No
1836,22.0,female,Bachelor,37081.0,0,OWN,8000.0,EDUCATION,13.49,0.22,2.0,646,Yes
27585,34.0,male,Doctorate,94604.0,12,RENT,15000.0,DEBTCONSOLIDATION,16.4,0.16,5.0,743,No
9144,24.0,male,Associate,13888.0,0,RENT,5000.0,HOMEIMPROVEMENT,7.88,0.36,3.0,691,No
5791,25.0,female,High School,22778.0,3,RENT,5500.0,PERSONAL,11.71,0.24,2.0,626,No
37101,41.0,male,High School,68230.0,18,MORTGAGE,6000.0,MEDICAL,11.01,0.09,12.0,557,Yes
192,24.0,male,Bachelor,81537.0,1,RENT,25000.0,VENTURE,10.99,0.31,3.0,674,No
20300,33.0,male,Associate,102441.0,10,RENT,4000.0,EDUCATION,8.59,0.04,6.0,628,Yes
31233,44.0,female,High School,47591.0,19,RENT,12000.0,MEDICAL,11.14,0.25,15.0,634,No
41854,25.0,male,Bachelor,42105.0,2,RENT,5000.0,VENTURE,10.99,0.12,3.0,633,No
10761,23.0,male,High School,49010.0,0,RENT,10000.0,EDUCATION,10.75,0.2,4.0,605,Yes
31807,36.0,male,Master,180854.0,12,OWN,7200.0,VENTURE,6.92,0.04,13.0,702,Yes
22929,33.0,female,Associate,41995.0,8,RENT,8000.0,DEBTCONSOLIDATION,9.99,0.19,5.0,566,Yes
31808,36.0,male,Associate,181034.0,15,MORTGAGE,7000.0,EDUCATION,7.29,0.04,15.0,578,Yes
13816,25.0,female,High School,116501.0,4,MORTGAGE,20000.0,EDUCATION,11.01,0.17,2.0,580,Yes
6834,26.0,female,Associate,77144.0,3,RENT,6000.0,PERSONAL,15.21,0.08,2.0,638,No
12449,22.0,male,Associate,54901.0,0,RENT,12000.0,EDUCATION,6.62,0.22,2.0,594,Yes
43674,27.0,female,Bachelor,69043.0,3,MORTGAGE,14278.0,MEDICAL,14.57,0.21,7.0,669,No
19404,27.0,female,Bachelor,42406.0,4,RENT,3000.0,DEBTCONSOLIDATION,11.01,0.07,8.0,637,No
13660,24.0,female,Associate,68259.0,1,RENT,13000.0,DEBTCONSOLIDATION,11.83,0.19,4.0,635,Yes
42544,27.0,male,Associate,76429.0,8,MORTGAGE,10883.0,MEDICAL,8.26,0.14,4.0,624,No
30381,45.0,female,Doctorate,24085.0,22,RENT,6700.0,HOMEIMPROVEMENT,12.92,0.28,15.0,735,No
13751,22.0,male,Master,115835.0,0,MORTGAGE,3000.0,EDUCATION,7.9,0.03,3.0,686,Yes
4884,23.0,female,Bachelor,46467.0,3,RENT,5000.0,MEDICAL,11.58,0.11,3.0,709,No
26579,28.0,male,Bachelor,38315.0,5,RENT,15000.0,MEDICAL,11.83,0.39,9.0,656,No
18439,27.0,male,Associate,27367.0,5,MORTGAGE,2500.0,EDUCATION,7.49,0.09,6.0,663,Yes
44521,23.0,male,Bachelor,36918.0,0,RENT,10000.0,PERSONAL,12.67,0.27,4.0,589,No
32132,37.0,female,High School,70806.0,14,RENT,18200.0,VENTURE,10.99,0.26,17.0,528,No
15616,24.0,female,Associate,103039.0,1,RENT,15000.0,EDUCATION,11.01,0.15,2.0,612,Yes
41230,43.0,female,High School,67140.0,16,MORTGAGE,11750.0,DEBTCONSOLIDATION,10.99,0.18,17.0,676,Yes
26431,29.0,male,Bachelor,36878.0,5,OWN,4000.0,VENTURE,7.49,0.11,5.0,687,Yes
30544,37.0,male,High School,64505.0,14,RENT,7700.0,VENTURE,11.01,0.12,13.0,628,Yes
36639,24.0,female,High School,46735.0,4,MORTGAGE,6208.0,MEDICAL,8.66,0.13,4.0,611,Yes
41763,30.0,male,Master,58530.0,5,RENT,3600.0,VENTURE,9.92,0.06,5.0,610,Yes
2343,23.0,male,Master,43016.0,0,RENT,2500.0,DEBTCONSOLIDATION,7.51,0.06,2.0,603,Yes
38169,24.0,male,Associate,43184.0,0,OWN,3000.0,MEDICAL,10.02,0.07,3.0,654,No
24552,34.0,female,High School,90267.0,13,MORTGAGE,11000.0,HOMEIMPROVEMENT,9.25,0.12,9.0,683,Yes
27993,31.0,male,Master,144977.0,7,MORTGAGE,28000.0,DEBTCONSOLIDATION,8.9,0.19,6.0,692,No
12083,22.0,female,Bachelor,95716.0,0,MORTGAGE,4750.0,VENTURE,10.25,0.05,3.0,594,Yes
43128,24.0,male,Associate,71422.0,0,RENT,22920.0,DEBTCONSOLIDATION,12.12,0.32,5.0,598,No
38119,25.0,male,Associate,163276.0,6,MORTGAGE,12501.0,VENTURE,11.01,0.08,5.0,677,Yes
41194,26.0,female,Bachelor,51334.0,5,RENT,10000.0,EDUCATION,6.57,0.19,4.0,653,Yes
7237,22.0,male,High School,139493.0,0,RENT,7000.0,DEBTCONSOLIDATION,7.66,0.05,2.0,510,Yes
32163,47.0,female,High School,61094.0,29,MORTGAGE,4000.0,VENTURE,11.01,0.07,17.0,685,Yes
14534,23.0,male,Bachelor,131737.0,1,MORTGAGE,10000.0,VENTURE,8.63,0.08,2.0,695,Yes
21510,29.0,female,Master,32921.0,8,RENT,6000.0,HOMEIMPROVEMENT,14.84,0.18,7.0,642,No
28750,28.0,male,Bachelor,30071.0,5,RENT,8875.0,EDUCATION,10.65,0.3,7.0,682,No
26226,33.0,male,Bachelor,119460.0,11,MORTGAGE,10000.0,MEDICAL,11.01,0.08,7.0,582,No
33195,44.0,male,High School,39562.0,21,RENT,4500.0,MEDICAL,7.47,0.11,12.0,551,Yes
472,22.0,male,Bachelor,22564.0,1,OWN,4000.0,MEDICAL,11.01,0.18,2.0,684,No
14447,21.0,male,Master,39517.0,0,RENT,15000.0,VENTURE,11.09,0.38,3.0,653,No
15803,24.0,female,Associate,113365.0,0,RENT,16000.0,HOMEIMPROVEMENT,11.89,0.14,3.0,691,No
3931,22.0,male,Associate,48310.0,1,MORTGAGE,5000.0,EDUCATION,6.62,0.1,4.0,646,Yes
28221,27.0,male,Doctorate,121866.0,5,MORTGAGE,20000.0,VENTURE,11.99,0.16,9.0,699,No
17407,23.0,female,Bachelor,38222.0,2,RENT,3200.0,PERSONAL,13.49,0.08,2.0,560,Yes
3072,22.0,female,High School,35918.0,0,RENT,3300.0,VENTURE,8.49,0.09,3.0,663,No
33418,29.0,male,High School,33313.0,4,RENT,5000.0,DEBTCONSOLIDATION,6.76,0.15,9.0,663,No
15022,24.0,male,Associate,28930.0,1,RENT,1600.0,EDUCATION,7.68,0.06,2.0,695,Yes
44474,24.0,female,Bachelor,56999.0,0,RENT,5000.0,EDUCATION,8.74,0.09,4.0,566,No
25428,27.0,female,High School,103017.0,4,MORTGAGE,3800.0,VENTURE,6.03,0.04,6.0,598,Yes
12289,23.0,female,Bachelor,48769.0,0,OWN,6400.0,VENTURE,8.32,0.13,3.0,640,No
43366,30.0,female,Associate,108001.0,8,RENT,28869.0,DEBTCONSOLIDATION,7.97,0.27,7.0,602,No
11637,23.0,female,High School,87615.0,1,RENT,10000.0,PERSONAL,10.59,0.11,4.0,667,Yes
26843,28.0,male,High School,138866.0,5,MORTGAGE,25000.0,HOMEIMPROVEMENT,7.49,0.18,6.0,568,Yes
26216,32.0,female,High School,118970.0,14,MORTGAGE,5000.0,VENTURE,12.23,0.04,10.0,709,No
4567,25.0,male,High School,120202.0,0,RENT,10000.0,PERSONAL,14.65,0.08,3.0,661,No
25281,27.0,female,High School,100150.0,3,MORTGAGE,11100.0,PERSONAL,8.94,0.11,5.0,629,No
11092,24.0,female,High School,87038.0,1,MORTGAGE,1000.0,EDUCATION,15.23,0.01,3.0,653,Yes
6780,23.0,female,Bachelor,60829.0,0,MORTGAGE,7000.0,VENTURE,13.48,0.12,2.0,688,No
21026,28.0,male,Associate,55485.0,6,MORTGAGE,15000.0,HOMEIMPROVEMENT,15.99,0.27,8.0,674,Yes
32329,52.0,female,High School,60964.0,29,RENT,18000.0,MEDICAL,14.59,0.3,25.0,623,No
37677,23.0,male,Master,36847.0,0,RENT,1200.0,EDUCATION,9.67,0.03,3.0,571,Yes
16280,22.0,female,Master,61452.0,2,RENT,5300.0,EDUCATION,14.42,0.09,2.0,653,No
12172,23.0,male,Master,89626.0,0,MORTGAGE,25975.0,DEBTCONSOLIDATION,11.01,0.29,2.0,634,No
3052,22.0,male,Master,18155.0,1,RENT,3250.0,PERSONAL,16.29,0.18,4.0,603,No
44132,24.0,female,Bachelor,56058.0,2,RENT,16984.0,DEBTCONSOLIDATION,10.49,0.3,3.0,604,No
42701,25.0,male,Associate,43996.0,1,RENT,2498.0,MEDICAL,11.78,0.06,4.0,590,No
16887,25.0,female,Associate,97020.0,3,RENT,10000.0,HOMEIMPROVEMENT,9.62,0.1,4.0,621,Yes
34184,34.0,male,Associate,109083.0,11,MORTGAGE,9942.0,DEBTCONSOLIDATION,8.1,0.09,7.0,680,No
17259,26.0,male,Bachelor,35704.0,1,RENT,15000.0,MEDICAL,10.0,0.42,3.0,609,No
14718,24.0,female,Associate,48829.0,0,RENT,15000.0,EDUCATION,12.87,0.31,3.0,569,No
23611,28.0,male,Master,39682.0,7,RENT,9000.0,PERSONAL,15.62,0.23,10.0,671,No
34055,26.0,male,Bachelor,36983.0,3,RENT,3200.0,MEDICAL,9.5,0.09,4.0,682,Yes
35289,29.0,male,Master,72900.0,5,RENT,17000.0,PERSONAL,14.12,0.23,9.0,617,Yes
9730,25.0,male,High School,114810.0,7,RENT,8600.0,HOMEIMPROVEMENT,8.59,0.07,2.0,616,Yes
23625,27.0,male,Bachelor,78941.0,5,MORTGAGE,3000.0,MEDICAL,12.42,0.04,10.0,683,No
39118,28.0,male,Associate,63427.0,1,RENT,14000.0,DEBTCONSOLIDATION,8.97,0.22,6.0,615,Yes
23002,28.0,female,Master,73263.0,5,MORTGAGE,3000.0,HOMEIMPROVEMENT,17.49,0.04,8.0,650,Yes
34504,24.0,female,Associate,135246.0,0,RENT,6186.0,DEBTCONSOLIDATION,8.38,0.05,4.0,565,Yes
2514,22.0,male,Master,23799.0,0,RENT,3000.0,VENTURE,13.06,0.13,2.0,670,No
23035,31.0,female,Doctorate,55197.0,10,RENT,8000.0,DEBTCONSOLIDATION,10.99,0.14,10.0,538,No
17446,26.0,female,Associate,91121.0,2,RENT,12000.0,EDUCATION,10.38,0.13,3.0,626,Yes
9345,26.0,male,Associate,78899.0,0,RENT,8000.0,PERSONAL,6.92,0.1,4.0,662,No
7079,25.0,male,Associate,73167.0,2,RENT,7000.0,HOMEIMPROVEMENT,6.92,0.1,2.0,621,Yes
24252,28.0,male,Associate,84850.0,7,MORTGAGE,5275.0,VENTURE,11.01,0.06,5.0,637,Yes
6550,24.0,female,Associate,50882.0,2,RENT,6000.0,DEBTCONSOLIDATION,11.28,0.12,2.0,593,No
15902,25.0,male,Associate,15278.0,2,OWN,4500.0,EDUCATION,13.16,0.29,4.0,662,No
6655,22.0,male,High School,60915.0,0,MORTGAGE,8800.0,VENTURE,11.11,0.14,4.0,653,Yes
32300,51.0,female,Doctorate,802050.0,26,MORTGAGE,10000.0,PERSONAL,13.98,0.01,22.0,760,No
37938,24.0,female,High School,66782.0,0,MORTGAGE,8000.0,PERSONAL,13.33,0.12,3.0,609,No
8214,26.0,female,High School,36877.0,0,RENT,7500.0,PERSONAL,14.75,0.2,3.0,609,No
24059,33.0,male,Master,85196.0,11,MORTGAGE,3200.0,MEDICAL,9.99,0.04,8.0,698,No
6417,21.0,male,Associate,48939.0,0,RENT,6000.0,DEBTCONSOLIDATION,11.49,0.12,3.0,611,Yes
16736,25.0,male,Bachelor,74774.0,2,MORTGAGE,5650.0,PERSONAL,7.66,0.08,2.0,688,No
17507,24.0,female,Bachelor,104725.0,0,MORTGAGE,12200.0,DEBTCONSOLIDATION,7.29,0.12,2.0,665,No
3618,24.0,female,Associate,58499.0,0,RENT,3700.0,MEDICAL,6.99,0.06,4.0,571,Yes
6379,22.0,male,Bachelor,44452.0,0,RENT,6000.0,EDUCATION,14.22,0.13,3.0,694,No
7647,22.0,male,Associate,57573.0,3,RENT,6850.0,DEBTCONSOLIDATION,10.65,0.12,4.0,668,No
35888,25.0,female,High School,73208.0,2,MORTGAGE,8000.0,DEBTCONSOLIDATION,5.79,0.11,2.0,569,Yes
10093,23.0,male,Master,53884.0,2,RENT,9500.0,EDUCATION,11.26,0.18,2.0,667,Yes
39471,25.0,female,High School,100544.0,4,MORTGAGE,25000.0,DEBTCONSOLIDATION,12.37,0.25,3.0,458,Yes
35951,24.0,female,Associate,72790.0,1,RENT,12000.0,PERSONAL,15.23,0.16,4.0,647,No
42940,28.0,female,Bachelor,33427.0,6,RENT,5000.0,MEDICAL,9.05,0.15,6.0,697,No
27857,30.0,male,High School,361038.0,7,MORTGAGE,20000.0,MEDICAL,11.58,0.06,9.0,565,Yes
15418,24.0,male,Associate,163088.0,2,MORTGAGE,8800.0,HOMEIMPROVEMENT,6.03,0.05,2.0,614,No
29131,43.0,female,Master,600812.0,22,MORTGAGE,25000.0,VENTURE,12.61,0.04,14.0,685,No
14721,23.0,male,High School,136687.0,0,MORTGAGE,35000.0,DEBTCONSOLIDATION,11.01,0.26,4.0,547,Yes
11923,23.0,female,Bachelor,93740.0,0,MORTGAGE,4000.0,EDUCATION,16.77,0.04,4.0,636,Yes
30196,39.0,female,High School,59458.0,18,MORTGAGE,15000.0,PERSONAL,9.88,0.25,15.0,581,Yes
24813,34.0,female,Bachelor,84934.0,11,MORTGAGE,17000.0,DEBTCONSOLIDATION,11.14,0.2,8.0,668,No
13782,21.0,male,Associate,40477.0,0,OWN,11000.0,EDUCATION,13.11,0.27,3.0,686,Yes
43180,24.0,male,Bachelor,40759.0,0,RENT,3479.0,HOMEIMPROVEMENT,9.01,0.09,3.0,695,No
41610,23.0,male,Bachelor,29962.0,1,RENT,5550.0,VENTURE,12.53,0.19,4.0,661,No
23160,34.0,male,Associate,72981.0,11,MORTGAGE,10000.0,PERSONAL,11.36,0.14,7.0,655,No
7149,22.0,female,Associate,63659.0,0,OWN,8400.0,VENTURE,12.98,0.13,4.0,611,Yes
40416,29.0,male,High School,63254.0,5,RENT,10636.0,DEBTCONSOLIDATION,9.74,0.17,4.0,520,Yes
14509,24.0,male,High School,130835.0,0,MORTGAGE,10000.0,DEBTCONSOLIDATION,8.49,0.08,2.0,613,Yes
20253,27.0,male,High School,58388.0,4,RENT,4000.0,EDUCATION,6.03,0.07,6.0,590,No
14405,25.0,female,Master,38285.0,3,RENT,14700.0,DEBTCONSOLIDATION,12.29,0.38,4.0,515,No
31292,36.0,female,High School,103040.0,11,OWN,8000.0,EDUCATION,14.96,0.08,14.0,695,No
11200,22.0,female,Bachelor,54301.0,0,RENT,10000.0,HOMEIMPROVEMENT,11.36,0.18,2.0,507,No
25042,27.0,male,High School,96929.0,1,MORTGAGE,12000.0,EDUCATION,6.99,0.12,6.0,573,Yes
14865,25.0,female,Bachelor,140984.0,4,MORTGAGE,8400.0,VENTURE,7.29,0.06,4.0,643,Yes
7935,22.0,male,High School,59480.0,0,MORTGAGE,10000.0,PERSONAL,5.79,0.17,4.0,636,No
27594,33.0,male,Associate,180846.0,12,OWN,21000.0,VENTURE,11.83,0.12,9.0,649,Yes
7431,26.0,male,Bachelor,34887.0,3,RENT,6625.0,EDUCATION,12.92,0.19,2.0,620,Yes
3833,22.0,male,Associate,46977.0,3,MORTGAGE,2000.0,EDUCATION,8.49,0.04,3.0,647,No
25476,35.0,female,Master,103038.0,13,MORTGAGE,12000.0,PERSONAL,10.0,0.12,5.0,725,No
44415,27.0,male,Associate,45644.0,5,RENT,5773.0,DEBTCONSOLIDATION,13.68,0.13,7.0,551,No
23700,28.0,male,Associate,75233.0,9,RENT,9200.0,MEDICAL,10.0,0.12,9.0,662,Yes
13905,21.0,female,High School,118564.0,0,MORTGAGE,6000.0,PERSONAL,10.59,0.05,4.0,628,Yes
38754,23.0,female,Bachelor,104036.0,0,MORTGAGE,7984.0,EDUCATION,13.75,0.08,3.0,585,Yes
268,23.0,female,Master,19000.0,2,OWN,4475.0,MEDICAL,11.01,0.24,4.0,647,No
19094,31.0,female,High School,46881.0,9,RENT,2200.0,EDUCATION,13.06,0.05,10.0,505,Yes
31670,37.0,female,Bachelor,111101.0,16,MORTGAGE,20000.0,MEDICAL,14.84,0.18,12.0,588,No
43445,42.0,male,High School,148472.0,22,MORTGAGE,14195.0,DEBTCONSOLIDATION,11.56,0.1,16.0,665,No
24873,28.0,male,Bachelor,87217.0,6,MORTGAGE,25000.0,PERSONAL,20.0,0.29,9.0,725,No
32923,26.0,male,High School,111724.0,4,RENT,13000.0,DEBTCONSOLIDATION,10.99,0.12,3.0,588,No
15456,26.0,female,High School,165516.0,5,MORTGAGE,21500.0,EDUCATION,6.62,0.13,4.0,647,No
15580,23.0,male,Bachelor,89998.0,3,RENT,15000.0,VENTURE,15.65,0.17,2.0,600,No
970,25.0,female,Bachelor,51103.0,4,RENT,18000.0,VENTURE,6.17,0.35,2.0,642,No
6874,23.0,female,Associate,70629.0,1,RENT,6000.0,MEDICAL,10.99,0.08,4.0,620,No
6822,25.0,female,Bachelor,53694.0,5,MORTGAGE,5550.0,MEDICAL,14.11,0.1,4.0,662,No
14942,24.0,female,Bachelor,111373.0,2,OWN,10000.0,MEDICAL,19.29,0.09,2.0,651,No
515,25.0,female,Master,94168.0,3,RENT,22000.0,PERSONAL,11.48,0.23,3.0,719,No
17157,23.0,male,Bachelor,69997.0,2,MORTGAGE,2500.0,VENTURE,10.37,0.04,4.0,680,Yes
31878,38.0,male,High School,118659.0,16,RENT,16000.0,DEBTCONSOLIDATION,16.4,0.13,15.0,596,No
29605,41.0,male,Bachelor,45683.0,20,RENT,3000.0,MEDICAL,11.01,0.07,16.0,638,Yes
23390,32.0,male,Master,75348.0,10,OWN,15000.0,EDUCATION,12.18,0.2,6.0,693,No
26661,28.0,female,High School,132898.0,6,MORTGAGE,22400.0,PERSONAL,11.01,0.17,6.0,573,No
24798,33.0,female,Bachelor,103124.0,9,RENT,10000.0,PERSONAL,11.01,0.1,5.0,692,Yes
4514,21.0,male,High School,50546.0,0,MORTGAGE,8200.0,PERSONAL,6.91,0.16,3.0,619,Yes
26013,28.0,female,High School,66960.0,6,RENT,13000.0,EDUCATION,10.99,0.19,8.0,635,No
39950,25.0,male,Bachelor,52286.0,1,OWN,2000.0,EDUCATION,9.0,0.04,3.0,603,Yes
24685,30.0,female,Master,90952.0,6,OWN,10000.0,EDUCATION,7.88,0.11,5.0,573,Yes
38560,22.0,female,Associate,84652.0,0,MORTGAGE,15000.0,DEBTCONSOLIDATION,10.36,0.18,2.0,595,Yes
20024,30.0,female,Bachelor,132814.0,8,RENT,3600.0,DEBTCONSOLIDATION,10.71,0.03,8.0,691,Yes
14284,23.0,female,High School,37049.0,3,OWN,4000.0,DEBTCONSOLIDATION,15.65,0.11,4.0,551,Yes
31152,43.0,female,High School,95598.0,19,MORTGAGE,4000.0,HOMEIMPROVEMENT,8.88,0.04,12.0,638,No
30444,41.0,female,High School,67060.0,19,MORTGAGE,9000.0,PERSONAL,5.99,0.13,17.0,601,Yes
43075,23.0,male,High School,65503.0,2,RENT,10000.0,PERSONAL,15.4,0.15,4.0,607,No
19948,33.0,male,High School,80182.0,9,RENT,10600.0,PERSONAL,12.99,0.13,7.0,670,Yes
29879,43.0,male,Associate,48824.0,19,MORTGAGE,18000.0,MEDICAL,11.83,0.37,15.0,613,Yes
30084,36.0,female,Associate,55055.0,11,MORTGAGE,16750.0,EDUCATION,7.88,0.3,13.0,619,Yes
14419,26.0,male,Master,128434.0,0,MORTGAGE,5000.0,MEDICAL,12.98,0.04,4.0,724,Yes
41955,30.0,female,Associate,88829.0,8,MORTGAGE,15000.0,EDUCATION,11.01,0.17,8.0,647,Yes
41275,22.0,female,High School,62740.0,0,RENT,10000.0,PERSONAL,9.75,0.16,3.0,569,No
42724,30.0,female,Bachelor,21035.0,7,RENT,2580.0,MEDICAL,14.78,0.12,8.0,653,No
19511,27.0,male,Associate,41785.0,9,MORTGAGE,8000.0,PERSONAL,13.35,0.19,8.0,647,No
16955,26.0,male,Master,15419.0,4,OWN,6100.0,HOMEIMPROVEMENT,7.51,0.4,4.0,631,No
5952,22.0,female,Master,58498.0,1,MORTGAGE,15000.0,MEDICAL,11.86,0.26,4.0,630,Yes
33229,23.0,male,Bachelor,121220.0,1,MORTGAGE,14000.0,MEDICAL,6.17,0.12,4.0,576,No
8656,25.0,male,High School,37319.0,4,RENT,8000.0,DEBTCONSOLIDATION,10.74,0.21,3.0,639,Yes
23552,28.0,male,Associate,77785.0,8,MORTGAGE,7200.0,VENTURE,7.29,0.09,8.0,662,No
34113,29.0,female,Associate,63505.0,9,RENT,10800.0,HOMEIMPROVEMENT,9.6,0.17,8.0,552,Yes
21965,32.0,male,Bachelor,130347.0,9,RENT,6125.0,PERSONAL,5.99,0.05,5.0,701,No
32564,53.0,female,High School,54806.0,31,RENT,5600.0,PERSONAL,13.79,0.1,28.0,605,Yes
2904,23.0,male,Bachelor,90933.0,1,RENT,3000.0,PERSONAL,11.01,0.03,2.0,595,Yes
7393,23.0,female,Bachelor,42595.0,0,RENT,6600.0,EDUCATION,7.49,0.15,3.0,616,Yes
14254,24.0,female,Bachelor,109107.0,0,MORTGAGE,19200.0,VENTURE,12.84,0.18,4.0,549,No
19871,30.0,female,Bachelor,64703.0,9,RENT,11000.0,MEDICAL,6.62,0.17,9.0,718,Yes
27843,34.0,male,Bachelor,330971.0,13,MORTGAGE,25000.0,VENTURE,16.32,0.08,9.0,632,No
29465,38.0,male,Bachelor,97036.0,14,RENT,1500.0,EDUCATION,11.49,0.02,16.0,503,Yes
21334,35.0,female,Bachelor,51829.0,10,RENT,5500.0,PERSONAL,13.06,0.11,8.0,579,No
33180,29.0,male,Bachelor,38322.0,8,OWN,6000.0,EDUCATION,10.93,0.16,7.0,606,No
9389,25.0,male,Associate,77723.0,3,RENT,8000.0,DEBTCONSOLIDATION,15.28,0.1,4.0,608,No
38288,23.0,male,High School,41647.0,0,RENT,3458.0,VENTURE,14.56,0.08,3.0,608,Yes
39826,24.0,female,High School,82271.0,1,RENT,10000.0,DEBTCONSOLIDATION,16.02,0.12,2.0,651,No
10537,23.0,female,High School,83179.0,0,MORTGAGE,1800.0,VENTURE,8.88,0.02,4.0,626,Yes
32766,38.0,male,Associate,104949.0,13,RENT,17791.0,MEDICAL,7.47,0.17,10.0,641,No
8135,22.0,male,Bachelor,68469.0,0,MORTGAGE,10075.0,EDUCATION,16.29,0.15,4.0,644,Yes
30653,36.0,male,Associate,72851.0,13,MORTGAGE,8000.0,EDUCATION,13.92,0.11,15.0,694,No
36007,32.0,female,Master,31203.0,13,RENT,4990.0,VENTURE,7.73,0.16,6.0,704,Yes
40901,35.0,female,Bachelor,113648.0,11,MORTGAGE,14953.0,DEBTCONSOLIDATION,9.92,0.13,10.0,572,Yes
2777,23.0,female,Bachelor,68294.0,0,RENT,12000.0,PERSONAL,10.75,0.18,3.0,651,Yes
13981,25.0,female,High School,120998.0,4,MORTGAGE,8000.0,MEDICAL,11.01,0.07,4.0,614,Yes
44336,25.0,male,Associate,39124.0,2,MORTGAGE,7962.0,DEBTCONSOLIDATION,11.78,0.2,2.0,597,No
15648,26.0,male,Bachelor,108871.0,1,RENT,15000.0,PERSONAL,11.01,0.14,3.0,607,Yes
14514,24.0,female,Associate,131226.0,1,MORTGAGE,15000.0,DEBTCONSOLIDATION,12.18,0.11,2.0,650,Yes
1597,24.0,female,Bachelor,47835.0,1,RENT,1500.0,MEDICAL,15.62,0.03,3.0,664,No
6464,23.0,male,High School,51281.0,0,RENT,6000.0,VENTURE,9.99,0.12,4.0,601,Yes
27128,29.0,male,Bachelor,29732.0,5,OWN,7200.0,PERSONAL,7.51,0.24,6.0,624,No
40617,35.0,male,High School,45958.0,11,MORTGAGE,6359.0,PERSONAL,10.06,0.14,11.0,578,Yes
29099,34.0,female,Bachelor,265119.0,14,MORTGAGE,11275.0,DEBTCONSOLIDATION,12.99,0.04,8.0,651,No
42766,30.0,male,Master,37010.0,4,RENT,7500.0,EDUCATION,13.27,0.2,6.0,622,No
20018,35.0,male,Associate,102741.0,11,RENT,3600.0,DEBTCONSOLIDATION,7.51,0.04,6.0,689,No
32119,36.0,male,Bachelor,97183.0,13,MORTGAGE,6000.0,VENTURE,11.01,0.06,14.0,681,Yes
37288,32.0,female,Bachelor,61071.0,10,RENT,4000.0,DEBTCONSOLIDATION,11.85,0.07,8.0,641,Yes
26776,33.0,male,Master,49162.0,11,RENT,15000.0,PERSONAL,9.88,0.31,5.0,700,No
38125,24.0,female,Bachelor,45574.0,3,RENT,5587.0,PERSONAL,7.56,0.12,4.0,652,Yes
7701,23.0,female,Bachelor,37092.0,0,RENT,7000.0,VENTURE,12.69,0.19,2.0,584,Yes
